Depth.mcd,Age,d18O.merged,18O stdev,d13C.merged,d13C stdev
0.008,2009,3.174837705,,-0.452935108,
0.04,1998,3.387105793,0.156669387,-0.151194414,0.186980753
0.072,1986,3.340254027,0.042305266,-0.3909053,0.257416938
0.10675,1973,3.44,,-0.15,
0.1415,1959,3.47,,-0.01,
0.15,1955,3.484300451,0.103662492,-0.204119512,0.099163965
0.169444,1947,3.376,,0.041,
0.17625,1945,3.38,,-0.24,
0.211,1926,3.51,,0.07,
0.24575,1900,3.6,,-0.11,
0.285537,1867.333333,3.300333333,0.156940541,-0.192,0.136832014
0.298621,1856,3.377,,-0.234,
0.307241,1852,3.312,,-0.337,
0.315556,1842,3.5245,0.078488853,-0.166,0.248901587
0.324483,1832,3.406,,-0.385,
0.333103,1822,3.38,,-0.213,
0.341724,1817,3.449,,-0.046,
0.350115,1808,3.489104858,0.029784601,-0.179210989,0.025583725
0.358966,1804,3.483,,0.043,
0.367586,1794,3.4,,-0.384,
0.376207,1785,3.352,,-0.311,
0.384828,1776,3.467,,-0.1,
0.39,1772,3.574948103,,-0.253827189,
0.394581,1768,3.524,0.093338095,0.088,0.002828427
0.402069,1758,3.521,,-0.021,
0.41069,1753,3.525,,-0.223,
0.41931,1744,3.467,,0.055,
0.427931,1739,3.598,,0.022,
0.43,1734,3.606313685,,0.073730289,
0.436552,1729,3.525,,0.129,
0.441429,1724,3.62,,0.3,
0.445172,1720,3.528,,-0.145,
0.453793,1710,3.507,,-0.044,
0.462414,1700,3.464,,-0.189,
0.470517,1695,3.466216572,0.076673812,0.080534817,0.009241628
0.485024667,1683.666667,3.417666667,0.219787018,-0.190333333,0.289216758
0.496897,1672,3.355,,-0.347,
0.505517,1663,3.392,,-0.136,
0.515632333,1653.333333,3.347816916,0.211231462,-0.172326106,0.327722733
0.522759,1646,3.262,,-0.259,
0.532118,1642,3.401,0.281428499,-0.1775,0.251022907
0.54,1633,3.359,,-0.193,
0.5493105,1626.5,3.417980986,0.113980387,-0.042670704,0.25225997
0.576527,1602,3.454,0.164048773,-0.036,0.132936075
0.583103,1595,3.436,,-0.175,
0.590862,1588,3.393489847,0.201511074,-0.117489228,0.116687853
0.600345,1582,3.335,,-0.237,
0.608966,1574,3.372,,-0.163,
0.6252465,1562,3.5545,0.062932504,0.154,0.005656854
0.63,1558,3.464227662,,-0.094586897,
0.634828,1555,3.476,,-0.016,
0.643448,1547,3.445,,-0.221,
0.652069,1540,3.543,,0.062,
0.66069,1536,3.462,,0.143,
0.66931,1532,3.406,,-0.281,
0.67,1528,3.474678899,0.035809445,-0.163356443,0.018888862
0.677931,1524,3.489,,-0.084,
0.680667,1520,3.61,,-0.01,
0.691019,1513.333333,3.552333333,0.076291109,-0.069,0.114328474
0.7028965,1504.5,3.501,0.125865007,-0.0885,0.040305087
0.71,1500,3.587229119,,-0.157702439,
0.7125405,1497,3.511,0.097580736,-0.0865,0.051618795
0.721034,1493,3.454,,-0.069,
0.729655,1486,3.425,,-0.242,
0.738276,1483,3.514,,0.17,
0.7484485,1475,3.507269362,0.088062176,-0.008416326,0.195986911
0.755517,1470,3.492,,-0.159,
0.764138,1464,3.38,,0.139,
0.777069,1455,3.397,0.138592929,-0.023,0.263043723
0.793846,1446.5,3.546,0.137178716,-0.0015,0.207182287
0.805385,1439,3.247,,-0.302,
0.813077,1433,3.404,,-0.077,
0.820769,1429,3.365,,-0.283,
0.828462,1427,3.434,,-0.182,
0.836154,1421,3.512,,-0.095,
0.843846,1414,3.332,,-0.358,
0.851538,1411,3.346,,-0.313,
0.859231,1405,3.427,,-0.113,
0.866923,1402,3.535,,0.07,
0.8723075,1396.5,3.392708076,0.092336725,-0.176128588,0.110126807
0.89,1386,3.428333333,0.096862445,-0.177333333,0.358806819
0.905385,1377,3.469,,-0.027,
0.9115385,1372,3.470591183,0.007907127,-0.088885179,0.085015195
0.920769,1366,3.45,,-0.04,
0.928462,1363,3.431,,-0.026,
0.936154,1357,3.47,,-0.078,
0.943846,1351,3.384,,-0.284,
0.950769,1345.5,3.481439762,0.046094337,-0.173210731,0.2140155
0.959231,1340,3.404,,0.024,
0.966923,1337,3.35,,-0.158,
0.974615,1333,3.468,,0.081,
0.772759,1456,3.299,,-0.209,
0.781379,1454,3.495,,0.163,
0.79,1448,3.449,,-0.148,
0.797692,1445,3.643,,0.145,
0.805385,1439,3.247,,-0.302,
0.813077,1433,3.404,,-0.077,
0.820769,1429,3.365,,-0.283,
0.828462,1427,3.434,,-0.182,
0.836154,1421,3.512,,-0.095,
0.843846,1414,3.332,,-0.358,
0.851538,1411,3.346,,-0.313,
0.859231,1405,3.427,,-0.113,
0.866923,1402,3.535,,0.07,
0.87,1398,3.327416152,,-0.098257176,
0.874615,1395,3.458,,-0.254,
0.882308,1389,3.52,,0.069,
0.89,1386,3.438,,-0.012,
0.897692,1383,3.327,,-0.589,
0.905385,1377,3.469,,-0.027,
0.91,1374,3.476182367,,-0.028770358,
0.913077,1370,3.465,,-0.149,
0.920769,1366,3.45,,-0.04,
0.928462,1363,3.431,,-0.026,
0.936154,1357,3.47,,-0.078,
0.943846,1351,3.384,,-0.284,
0.95,1347,3.450879525,0.048969972,-0.365421461,0.156203978
0.951538,1344,3.512,,0.019,
0.959231,1340,3.404,,0.024,
0.966923,1337,3.35,,-0.158,
0.974615,1333,3.468,,0.081,
