Depth_cmcd,Age_CE,TEX86,TEX86_stdev
0.8,2009,0.295633726,0.01491527
2.4,2003,0.290882462,0.004636499
4,1998,0.300555409,0.004226616
5.6,1992,0.314249419,0.020658008
7.2,1986,0.307381917,0.015906226
9,1979,0.307720626,0.010244432
11,1971,0.281715104,0.003014668
13,1963,0.293609692,0.012147603
15,1955,0.31921579,0.012588274
17,1947,0.300997613,0.015124744
19,1939,0.318590817,0.01218232
21,1926,0.286714298,0.014547664
23,1910,0.297837855,0.004861166
25,1894,0.306709956,0.021031352
27,1879,0.303280906,
29,1864,0.299830424,0.013071477
31,1847,0.307790055,
33,1827,0.309704828,
35,1808,0.297000246,
37,1789,0.314927276,0.014168599
39,1772,0.322066819,
41,1753,0.306456235,
45,1715,0.309196829,0.008830181
47,1695,0.301017299,
49,1676,0.304725799,
51,1659,0.305903756,
54,1633,0.315871475,
55,1624,0.279869325,0.02140462
59,1590,0.287598225,0.009107234
63,1558,0.305787226,0.020163637
67,1528,0.32394724,0.005113479
71,1500,0.338142431,0.015218971
75,1473,0.367797943,0.012230708
79,1448,0.341791259,
83,1424,0.302562299,0.00837094
87.4615,1395,0.349526596,
91,1374,0.362437369,
93,1360,0.315889851,0.009467229
95.1538,1347,0.314556018,
97,1333,0.338258263,
99,1321,0.34707303,0.001786885
