Depth.mbsf,Depth.cmcd,Age,F. curta.F. kerg,Sea ice Frag spp,Chaet. RS.VC,Abundance (mv.gds)
0.008,0.8,2009,0.8,24.87922705,0.59,74.6
0.024,2.4,2005,1.527272727,31.12745098,1.52,46.5
0.04,4,1998,0.537313433,16.20947631,1.71,81.83
0.056,5.6,1992,0.609756098,31.30841121,2.15,75.24
0.072,7.2,1984.5,1.115384615,33.83297645,1.86,75.57
0.09,9,1979,0.890410959,24.31192661,0.91,56.4
0.11,11,1971,0.921875,22.38442822,1.97,54.3
0.13,13,1963,0.785714286,21.59509202,0.78,80.1
0.15,15,1955,1.518518519,30.07334963,1.68,56.51
0.17,17,1947,0.916666667,18.33740831,0.42,64.9
0.19,19,1939,2.142857143,37.96526055,1.96,148.2
0.21,21,1926,1.553191489,28.04878049,0.7,131.8
0.23,23,1910,1.25862069,27.27272727,0.58,130.9
0.25,25,1894,1.597222222,40.82125604,0.74,99.3
0.27,27,1879,1,24.38423645,0.96,114
0.29,29,1864,1.796296296,33.25183374,0.81,162.97
0.31,31,1847,1.596774194,40.54054054,0.85,125.5
0.33,33,1827,1.464285714,31.87347932,0.64,70.26
0.35,35,1808,1.044117647,26.47754137,0.53,114.48
0.37,37,1789,1.451612903,35.55555556,0.46,84.7
0.39,39,1772,0.676470588,21.30750605,0.61,83.09
0.41,41,1753,0.806818182,28.71046229,0.58,129.92
0.43,43,1734,0.971428571,26.44230769,0.73,129.78
0.45,45,1715,1.420289855,39.46078431,0.37,157.25
0.47,47,1695,0.534883721,22.11764706,0.39,115.8
0.49,49,1676,1.031746032,29.10447761,0.45,82.76
0.53,53,1642,1.086206897,25.80645161,0.6,106.15
0.57,57,1608,0.628571429,20.28985507,0.48,96.96
0.61,61,1574,1.125,24.9382716,0.42,111.11
0.65,65,1543,0.823529412,23.7745098,0.56,83.47
0.69,69,1513,0.695652174,19.75903614,0.27,97.88
0.71,71,1500,1.038961039,29.65686275,0.64,134.98
0.73,73,1486,0.824324324,24.51456311,0.56,128.78
0.77,77,1461,0.767123288,24.59016393,0.52,156.58
0.81,81,1436,0.910714286,22.30392157,1.07,212.84
0.85,85,1411,1.136363636,29.3398533,0.47,144.55
0.89,89,1386,1.083333333,27.24014337,0.69,174.98
0.93,93,1360,1.172413793,23.6453202,0.47,104.22
0.99,99,1321,0.916666667,25.05966587,0.32,179.91
